Training loss: 7.62e-01 lr: 0.00e+00:   0% 1/1015 [00:00<13:49,  1.22it/s]
Training loss: 7.60e-01 lr: 4.93e-07:   0% 2/1015 [00:01<12:04,  1.40it/s]
Training loss: 7.93e-01 lr: 9.86e-07:   0% 3/1015 [00:01<10:49,  1.56it/s]
Training loss: 7.62e-01 lr: 1.48e-06:   0% 4/1015 [00:02<10:00,  1.68it/s]
Training loss: 7.54e-01 lr: 1.97e-06:   0% 5/1015 [00:02<09:20,  1.80it/s]
Training loss: 7.14e-01 lr: 2.47e-06:   1% 6/1015 [00:03<08:53,  1.89it/s]
Training loss: 7.29e-01 lr: 2.96e-06:   1% 7/1015 [00:03<08:33,  1.96it/s]
Training loss: 7.06e-01 lr: 3.45e-06:   1% 8/1015 [00:04<08:21,  2.01it/s]
Training loss: 7.04e-01 lr: 3.94e-06:   1% 9/1015 [00:04<08:10,  2.05it/s]
Training loss: 6.56e-01 lr: 4.44e-06:   1% 10/1015 [00:05<08:04,  2.07it/s]
Training loss: 6.11e-01 lr: 4.93e-06:   1% 11/1015 [00:05<08:02,  2.08it/s]
Training loss: 5.54e-01 lr: 5.42e-06:   1% 12/1015 [00:05<07:57,  2.10it/s]
Training loss: 5.34e-01 lr: 5.92e-06:   1% 13/1015 [00:06<07:56,  2.10it/s]
Training loss: 4.72e-01 lr: 6.41e-06:   1% 14/1015 [00:06<07:53,  2.11it/s]
Training loss: 4.23e-01 lr: 6.90e-06:   1% 15/1015 [00:07<07:52,  2.12it/s]
Training loss: 3.67e-01 lr: 7.40e-06:   2% 16/1015 [00:07<07:50,  2.12it/s]
Training loss: 3.29e-01 lr: 7.89e-06:   2% 17/1015 [00:08<07:51,  2.12it/s]
Training loss: 2.93e-01 lr: 8.38e-06:   2% 18/1015 [00:08<07:51,  2.11it/s]
Training loss: 2.45e-01 lr: 8.88e-06:   2% 19/1015 [00:09<07:50,  2.12it/s]
Training loss: 2.48e-01 lr: 9.37e-06:   2% 20/1015 [00:09<07:52,  2.10it/s]
Training loss: 2.18e-01 lr: 9.86e-06:   2% 21/1015 [00:10<07:50,  2.11it/s]
Training loss: 1.88e-01 lr: 1.04e-05:   2% 22/1015 [00:10<07:52,  2.10it/s]
Training loss: 1.88e-01 lr: 1.08e-05:   2% 23/1015 [00:11<07:53,  2.10it/s]
Training loss: 1.64e-01 lr: 1.13e-05:   2% 24/1015 [00:11<07:51,  2.10it/s]
Training loss: 1.69e-01 lr: 1.18e-05:   2% 25/1015 [00:12<07:49,  2.11it/s]
