Training loss: 2.74e+00 lr: 6.22e-05:   1% 1/182 [00:01<03:03,  1.01s/it]
Training loss: 2.58e+00 lr: 6.18e-05:   1% 2/182 [00:01<02:47,  1.07it/s]
Training loss: 2.49e+00 lr: 6.15e-05:   2% 3/182 [00:02<02:36,  1.15it/s]
Training loss: 2.36e+00 lr: 6.11e-05:   2% 4/182 [00:03<02:28,  1.20it/s]
Training loss: 2.21e+00 lr: 6.08e-05:   3% 5/182 [00:03<02:22,  1.24it/s]
Training loss: 2.10e+00 lr: 6.04e-05:   3% 6/182 [00:04<02:18,  1.27it/s]
Training loss: 2.03e+00 lr: 6.01e-05:   4% 7/182 [00:05<02:16,  1.28it/s]
Training loss: 1.88e+00 lr: 5.97e-05:   4% 8/182 [00:06<02:13,  1.30it/s]
Training loss: 1.85e+00 lr: 5.94e-05:   5% 9/182 [00:06<02:12,  1.31it/s]
Training loss: 1.75e+00 lr: 5.90e-05:   5% 10/182 [00:07<02:10,  1.32it/s]
Training loss: 1.67e+00 lr: 5.87e-05:   6% 11/182 [00:08<02:08,  1.33it/s]
Training loss: 1.59e+00 lr: 5.84e-05:   7% 12/182 [00:09<02:07,  1.33it/s]
Training loss: 1.54e+00 lr: 5.80e-05:   7% 13/182 [00:09<02:06,  1.33it/s]
Training loss: 1.49e+00 lr: 5.77e-05:   8% 14/182 [00:10<02:06,  1.33it/s]
Training loss: 1.40e+00 lr: 5.73e-05:   8% 15/182 [00:11<02:05,  1.33it/s]
Training loss: 1.39e+00 lr: 5.70e-05:   9% 16/182 [00:12<02:04,  1.34it/s]
Training loss: 1.40e+00 lr: 5.66e-05:   9% 17/182 [00:12<02:04,  1.33it/s]
Training loss: 1.36e+00 lr: 5.63e-05:  10% 18/182 [00:13<02:03,  1.32it/s]
Training loss: 1.35e+00 lr: 5.59e-05:  10% 19/182 [00:14<02:03,  1.32it/s]
Training loss: 1.29e+00 lr: 5.56e-05:  11% 20/182 [00:15<02:03,  1.31it/s]
Training loss: 1.26e+00 lr: 5.52e-05:  12% 21/182 [00:16<02:03,  1.31it/s]
Training loss: 1.25e+00 lr: 5.49e-05:  12% 22/182 [00:16<02:02,  1.31it/s]
Training loss: 1.22e+00 lr: 5.46e-05:  13% 23/182 [00:17<02:01,  1.31it/s]
Training loss: 1.18e+00 lr: 5.42e-05:  13% 24/182 [00:18<02:01,  1.30it/s]
Training loss: 1.17e+00 lr: 5.39e-05:  14% 25/182 [00:19<02:00,  1.30it/s]
Training loss: 1.12e+00 lr: 5.35e-05:  14% 26/182 [00:19<02:00,  1.29it/s]
Training loss: 1.11e+00 lr: 5.32e-05:  15% 27/182 [00:20<01:59,  1.29it/s]
Training loss: 1.07e+00 lr: 5.28e-05:  15% 28/182 [00:21<01:59,  1.29it/s]
Training loss: 1.10e+00 lr: 5.25e-05:  16% 29/182 [00:22<01:58,  1.29it/s]
Training loss: 1.14e+00 lr: 5.21e-05:  16% 30/182 [00:23<01:58,  1.28it/s]
Training loss: 1.12e+00 lr: 5.18e-05:  17% 31/182 [00:23<01:57,  1.28it/s]
Training loss: 1.11e+00 lr: 5.15e-05:  18% 32/182 [00:24<01:57,  1.28it/s]
Training loss: 1.06e+00 lr: 5.11e-05:  18% 33/182 [00:25<01:56,  1.28it/s]
Training loss: 1.06e+00 lr: 5.08e-05:  19% 34/182 [00:26<01:56,  1.27it/s]
Training loss: 1.05e+00 lr: 5.04e-05:  19% 35/182 [00:26<01:56,  1.26it/s]
Training loss: 1.02e+00 lr: 5.01e-05:  20% 36/182 [00:27<01:55,  1.26it/s]
Training loss: 1.05e+00 lr: 4.97e-05:  20% 37/182 [00:28<01:55,  1.26it/s]
Training loss: 1.05e+00 lr: 4.94e-05:  21% 38/182 [00:29<01:54,  1.25it/s]
Training loss: 1.04e+00 lr: 4.90e-05:  21% 39/182 [00:30<01:54,  1.25it/s]
Training loss: 1.04e+00 lr: 4.87e-05:  22% 40/182 [00:30<01:53,  1.25it/s]
Training loss: 1.01e+00 lr: 4.83e-05:  23% 41/182 [00:31<01:53,  1.24it/s]
Training loss: 1.03e+00 lr: 4.80e-05:  23% 42/182 [00:32<01:52,  1.24it/s]
Training loss: 1.03e+00 lr: 4.77e-05:  24% 43/182 [00:33<01:52,  1.24it/s]
Training loss: 9.82e-01 lr: 4.73e-05:  24% 44/182 [00:34<01:51,  1.23it/s]
Training loss: 9.49e-01 lr: 4.70e-05:  25% 45/182 [00:35<01:51,  1.23it/s]
Training loss: 9.49e-01 lr: 4.66e-05:  25% 46/182 [00:35<01:50,  1.23it/s]
Training loss: 9.28e-01 lr: 4.63e-05:  26% 47/182 [00:36<01:49,  1.23it/s]
Training loss: 9.03e-01 lr: 4.59e-05:  26% 48/182 [00:37<01:48,  1.23it/s]
Training loss: 9.05e-01 lr: 4.56e-05:  27% 49/182 [00:38<01:47,  1.23it/s]
Training loss: 9.22e-01 lr: 4.52e-05:  27% 50/182 [00:39<01:47,  1.23it/s]
Training loss: 9.11e-01 lr: 4.49e-05:  28% 51/182 [00:39<01:46,  1.23it/s]
Training loss: 8.88e-01 lr: 4.45e-05:  29% 52/182 [00:40<01:45,  1.23it/s]
Training loss: 9.05e-01 lr: 4.42e-05:  29% 53/182 [00:41<01:44,  1.23it/s]
Training loss: 8.70e-01 lr: 4.39e-05:  30% 54/182 [00:42<01:43,  1.24it/s]
Training loss: 8.48e-01 lr: 4.35e-05:  30% 55/182 [00:43<01:42,  1.24it/s]
