Training loss: 2.97e+00 lr: 6.22e-05:   1% 1/194 [00:00<02:31,  1.27it/s]
Training loss: 2.76e+00 lr: 6.19e-05:   1% 2/194 [00:01<02:25,  1.32it/s]
Training loss: 2.58e+00 lr: 6.15e-05:   2% 3/194 [00:02<02:22,  1.34it/s]
Training loss: 2.40e+00 lr: 6.12e-05:   2% 4/194 [00:02<02:19,  1.36it/s]
Training loss: 2.21e+00 lr: 6.09e-05:   3% 5/194 [00:03<02:16,  1.38it/s]
Training loss: 2.01e+00 lr: 6.06e-05:   3% 6/194 [00:04<02:14,  1.39it/s]
Training loss: 1.93e+00 lr: 6.02e-05:   4% 7/194 [00:05<02:13,  1.40it/s]
Training loss: 1.84e+00 lr: 5.99e-05:   4% 8/194 [00:05<02:12,  1.41it/s]
Training loss: 1.74e+00 lr: 5.96e-05:   5% 9/194 [00:06<02:11,  1.41it/s]
Training loss: 1.69e+00 lr: 5.93e-05:   5% 10/194 [00:07<02:10,  1.41it/s]
Training loss: 1.59e+00 lr: 5.89e-05:   6% 11/194 [00:07<02:09,  1.41it/s]
Training loss: 1.58e+00 lr: 5.86e-05:   6% 12/194 [00:08<02:09,  1.41it/s]
Training loss: 1.48e+00 lr: 5.83e-05:   7% 13/194 [00:09<02:08,  1.41it/s]
Training loss: 1.36e+00 lr: 5.80e-05:   7% 14/194 [00:09<02:07,  1.41it/s]
Training loss: 1.41e+00 lr: 5.76e-05:   8% 15/194 [00:10<02:07,  1.41it/s]
Training loss: 1.34e+00 lr: 5.73e-05:   8% 16/194 [00:11<02:06,  1.41it/s]
Training loss: 1.34e+00 lr: 5.70e-05:   9% 17/194 [00:12<02:05,  1.41it/s]
Training loss: 1.34e+00 lr: 5.67e-05:   9% 18/194 [00:12<02:05,  1.40it/s]
Training loss: 1.34e+00 lr: 5.63e-05:  10% 19/194 [00:13<02:05,  1.40it/s]
Training loss: 1.28e+00 lr: 5.60e-05:  10% 20/194 [00:14<02:04,  1.40it/s]
Training loss: 1.22e+00 lr: 5.57e-05:  11% 21/194 [00:14<02:04,  1.39it/s]
Training loss: 1.17e+00 lr: 5.54e-05:  11% 22/194 [00:15<02:03,  1.39it/s]
Training loss: 1.19e+00 lr: 5.51e-05:  12% 23/194 [00:16<02:02,  1.39it/s]
Training loss: 1.18e+00 lr: 5.47e-05:  12% 24/194 [00:17<02:02,  1.39it/s]
Training loss: 1.14e+00 lr: 5.44e-05:  13% 25/194 [00:17<02:01,  1.39it/s]
Training loss: 1.17e+00 lr: 5.41e-05:  13% 26/194 [00:18<02:01,  1.38it/s]
